X-axis,Y-axis
-7.639.545.917.510.980,23.498.851.776.123.000
-7.855.077.743.530.270,2.239.297.866.821.280
-8.083.114.624.023.430,21.283.344.268.798.800
-8.327.363.014.221.190,2.019.722.557.067.870
-8.573.408.126.831.050,19.160.219.192.504.800
-8.814.924.240.112.300,18.167.665.481.567.300
-9.050.790.786.743.160,17.208.568.572.998.000
-9.256.975.173.950.190,1.637.403.678.894.040
-9.469.914.436.340.330,15.448.847.770.690.900
-965.963.077.545.166,14.535.922.050.476.000
-9.833.786.010.742.180,13.720.507.621.765.100
-10.030.346.870.422.300,12.762.617.111.206.000
-10.183.218.002.319.300,11.943.242.073.059.000
-10.293.774.604.797.300,11.136.942.863.464.300
-10.354.731.559.753.400,10.322.284.698.486.300
-10.357.833.862.304.600,9.565.844.535.827.630
-10.354.044.914.245.600,8.813.261.985.778.800
-10.328.791.618.347.100,8.096.972.465.515.130
-10.248.225.212.097.100,7.398.647.308.349.600
-10.114.325.523.376.400,6.715.195.178.985.590
-9.942.705.154.418.940,6.108.461.856.842.040
-9.711.599.349.975.580,5.503.281.116.485.590
-9.440.442.085.266.110,4.953.808.307.647.700
-907.906.436.920.166,4.376.967.906.951.900
-8.732.961.654.663.080,39.313.621.520.996.000
-8.351.977.348.327.630,35.246.191.024.780.200
-7.943.120.002.746.580,31.595.311.164.855.900
-753.106.689.453.125,28.245.604.038.238.500
-6.987.241.268.157.950,24.395.506.381.988.500
-6.356.484.413.146.970,20.832.715.034.484.800
-5.683.740.139.007.560,17.914.159.297.943.100
-5.008.412.837.982.170,15.752.440.690.994.200
-4.332.236.289.978.020,1.422.021.508.216.850
-3.750.258.684.158.320,12.936.229.705.810.500
-31.012.158.393.859.800,11.653.319.597.244.200
-2.462.758.779.525.750,1.066.445.231.437.680
-18.542.382.717.132.500,9.647.070.169.448.850
-12.077.196.836.471.500,8.399.413.824.081.420
-634.716.808.795.929,7.391.894.459.724.420
16.513.671.725.988.300,6.241.601.705.551.140
6.838.281.154.632.560,5.217.871.069.908.140
1.368.740.200.996.390,43.199.217.319.488.500
21.821.680.068.969.700,3.103.124.797.344.200
29.935.302.734.375,22.177.733.480.930.300
3.795.048.713.684.080,18.572.264.909.744.200
4.578.110.218.048.090,17.243.163.287.639.600
5.328.100.681.304.930,15.786.132.216.453.500
597.781.229.019.165,15.631.835.162.639.600
6.540.248.870.849.600,15.647.460.520.267.400
6.957.197.189.331.050,15.565.429.627.895.300
731.176.233.291.626,1.553.320.288.658.140
7.575.849.533.081.050,15.543.945.133.686.000
7.734.726.428.985.590,15.568.359.196.186.000
7.795.839.786.529.540,15.569.335.222.244.200
7.795.942.306.518.550,15.568.359.196.186.000
7.796.323.299.407.950,15.569.335.222.244.200
7.796.576.976.776.120,1.557.031.273.841.850
7.796.728.134.155.270,15.571.288.764.476.700
7.796.860.218.048.090,1.557.324.230.670.920
7.796.899.318.695.060,15.575.194.358.825.600
7.796.875,15.576.171.875
7.796.792.030.334.470,15.576.171.875
7.796.703.815.460.200,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
7.796.689.510.345.450,15.577.147.901.058.100
